offer_id,type,fuel_type,transmission,dealer_plz,dealer_city,dealer_street_house_nr,init_regist_my,init_regist_month,init_regist_year,init_regist_dt,make,mileage,hp,price
7095529,ALFA ROMEO 147 1.6 TS 16V Progression (Limousine),Benzin,Schaltgetriebe manuell,5037,Muhen,Hauptstrasse 22,2.2007,2.0,2007.0,2007-02,ALFA,136000,105,2200
7481316,SEAT Ibiza 1.6 Sport (Kleinwagen),Benzin,Schaltgetriebe manuell,5600,Lenzburg,Murackerstrasse 19,1.2009,1.0,2009.0,2009-01,SEAT,148000,105,4500
6933006,PORSCHE Cayenne (SUV / Geländewagen),Benzin,Schaltgetriebe manuell,1201,Geneve,Postfach 1201,7.201,7.0,2010.0,2010-07,PORSCHE,50422,290,30000
6642022,PORSCHE Cayenne (SUV / Geländewagen),Benzin,Automat,8152,Opfikon,Ringstr. 11,6.2009,6.0,2009.0,2009-06,PORSCHE,129500,290,18950
7487999,MERCEDES-BENZ C 220 d AMG Line 4Matic 7G-Tronic (Limousine),Diesel,Automat sequentiell,6532,Castione,6532 Castione,5.2018,5.0,2018.0,2018-05,MERCEDES-BENZ,23000,170,42000
7506405,MERCEDES-BENZ SLK 230 Kompressor (Cabriolet),Benzin,Automatik-Getriebe,5737,Menziken,5737 Menziken,6.1999,6.0,1999.0,1999-06,MERCEDES-BENZ,152000,193,6000
7492361,MERCEDES-BENZ SLK 230 Kompressor (Cabriolet),Benzin,Schaltgetriebe manuell,8127,Forch,Albert Bächtoldtrasse 19,1.2,1.0,2000.0,2000-01,MERCEDES-BENZ,155000,193,5200
7090475,AUDI A3 Sportback 1.4 TFSI Ambition (Limousine),Benzin,Schaltgetriebe manuell,3983,Mörel,Aletschpromenade 23,12.2009,12.0,2009.0,2009-12,AUDI,86800,125,7050
7023237,AUDI A3 Sportback 1.4 TFSI Ambition (Limousine),Benzin,Schaltgetriebe manuell,3427,utzenstorf,3427 utzenstorf,5.2013,5.0,2013.0,2013-05,AUDI,163000,122,10800
7504927,AUDI A3 Sportback 1.4 TFSI Ambition S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,1213,Genève,1213 Genève,3.2015,3.0,2015.0,2015-03,AUDI,67000,150,24000
7448561,FORD Kuga 2.0 TDCi Titanium S 4WD PowerShift (SUV / Geländewagen),Diesel,Automatisiertes Schaltgetriebe,8722,Kaltbrunn,Hofackerstrasse,8.2014,8.0,2014.0,2014-08,FORD,98500,163,16400
7489329,SMART fortwo passion mhd softouch (Kleinwagen),Benzin,Automatisiertes Schaltgetriebe,8645,Jona,8645 Jona,6.2008,6.0,2008.0,2008-06,SMART,70100,71,4900
7453419,VOLVO XC60 T5 AWD R-Design Geartronic (SUV / Geländewagen),Benzin,Automat sequentiell,5504,Othmarsingen,Zopfgasse 14,12.2017,12.0,2017.0,2017-12,VOLVO,52000,254,44000
7368643,AUDI SQ5 3.0 TDI plus quattro tiptronic (SUV / Geländewagen),Diesel,Automat sequentiell,5000,Aarau,5000 Aarau,10.2016,10.0,2016.0,2016-10,AUDI,69000,340,44900
7440886,PEUGEOT 208 1.2 VTI Style (Kleinwagen),Benzin,Schaltgetriebe manuell,1227,Carouge GE,5B chemin de Pinchat,12.2014,12.0,2014.0,2014-12,PEUGEOT,93000,82,6990
7500251,MERCEDES-BENZ E 220 d AMG Line 9G-Tronic (Kombi),Diesel,Automat sequentiell,1201,Geneve,Des Pâquis 43,4.2017,4.0,2017.0,2017-04,MERCEDES-BENZ,50000,194,40000
7433805,VOLVO S60 2.0T Powershift (Limousine),Benzin,Automatisiertes Schaltgetriebe,6300,Zug,6300 Zug,10.201,10.0,2010.0,2010-10,VOLVO,183000,203,9500
7506619,HONDA CR-V 2.2 i-DTEC Comfort 4WD (SUV / Geländewagen),Diesel,Schaltgetriebe manuell,1000,Lausanne,ch de la Vulliette,3.2013,3.0,2013.0,2013-03,HONDA,180000,150,12900
7430533,SEAT Leon 2.0 TSI Cupra 300 DSG (Limousine),Benzin,Automatisiertes Schaltgetriebe,3175,Flamatt,Industriestrasse 5,11.2017,11.0,2017.0,2017-11,SEAT,44000,300,27500
7408857,JEEP Wrangler 3.6 Rubicon X Automatic hardtop (SUV / Geländewagen),Benzin,Automat sequentiell,6410,goldau,pilgerweg24,7.2014,7.0,2014.0,2014-07,JEEP,35500,284,32500
7176780,JEEP Wrangler 3.6 Sahara Automatic hardtop (SUV / Geländewagen),Benzin,Automat sequentiell,6375,Beckenried,Rütenenstrasse 109,3.2013,3.0,2013.0,2013-03,JEEP,57500,284,29500
7492210,AUDI S6 Avant 4.0 TFSI V8 quattro S-tronic (Kombi),Benzin,Automatisiertes Schaltgetriebe,6332,Hagendorn,Lorzenweidstrasse 50,12.2014,12.0,2014.0,2014-12,AUDI,101000,420,32990
7494117,NISSAN Qashqai 1.6 dCi iStop 4WD acenta (SUV / Geländewagen),Diesel,Schaltgetriebe manuell,9200,Gossau,St.Gallerstrasse 212a,7.2012,7.0,2012.0,2012-07,NISSAN,185000,131,7500
5860148,MASERATI Levante 3.0 V6 GranSport Automatica (SUV / Geländewagen),Benzin,Automat sequentiell,6900,Lugano,6900 Lugano,12.2017,12.0,2017.0,2017-12,MASERATI,46300,350,66900
7495149,CITROEN Grand C4 Picasso 2.0 HDI Exclusive EGS6 (Kompaktvan / Minivan),Diesel,Automatisiertes Schaltgetriebe,8303,Bassersdorf,Hinteracherweg15,2.2012,2.0,2012.0,2012-02,CITROEN,165000,150,6099
7398433,JEEP Renegade 2.0 CRD Trailhawk AWD + Low Range 9ATX (SUV / Geländewagen),Diesel,Automat sequentiell,2208,Les Hauts-Geneveys,Derrière Chapelet 10A,3.2015,3.0,2015.0,2015-03,JEEP,87000,170,17950
5550690,FERRARI F355 Berlinetta (Coupé),Benzin,Automatisiertes Schaltgetriebe,5082,Kaisten,5082 Kaisten,5.1998,5.0,1998.0,1998-05,FERRARI,21000,380,72000
7403795,MERCEDES-BENZ GLC Coupé 43 AMG 4Matic 9G-Tronic (SUV / Geländewagen),Benzin,Automat sequentiell,6828,Balerna,VIA MONTE GENEROSO 14B,10.2017,10.0,2017.0,2017-10,MERCEDES-BENZ,39000,367,60000
6755838,BMW X3 xDrive 20d M Sport Steptronic (SUV / Geländewagen),Diesel,Automat sequentiell,6864,Arzo,6864 Arzo,2.2018,2.0,2018.0,2018-02,BMW,35000,190,46500
6020904,BMW X3 xDrive 20d M Sport Steptronic (SUV / Geländewagen),Diesel,Automat sequentiell,3922,Stalden,Tichelweg 4,5.2018,5.0,2018.0,2018-05,BMW,12800,190,49999
6902406,AUDI S3 Sportback 2.0 TFSI quattro S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,6648,Minusio,6648 Minusio,6.2018,6.0,2018.0,2018-06,AUDI,26000,310,42500
